country,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,error_flags,anomaly_score,is_anomaly
ESP,PARQUE EOLICO TAHIVILLA,WRI1007704,30.0,36.0139,-5.6069,Wind,,,0.1644,False
USA,Biron Mill,USA0010234,61.6,44.43,-89.78,Coal,1968.185064935065,,0.1566,False
FRA,Naours,WRI1024547,10.0,50.0446,2.2839,Wind,,,0.1932,False
USA,CalPeak Power Border Peaker Plant,USA0055510,60.5,32.5624,-116.9439,Gas,2001.0,,0.1212,False
USA,Las Vegas WPCF Solar Plant,USA0058477,3.3,36.1344,-115.0353,Solar,2013.0,,0.1484,False
USA,St. Charles Solar,USA0062869,,43.976,-92.032,Solar,2019.0,MISSING_CAPACITY,0.1761,False
CHN,Yangyuan A,WKS0069553,40.0,40.166,114.314,Solar,,,0.1348,False
CAN,Grand-Mère,CAN0007911,,46.6152,-72.6793,Hydro,,MISSING_CAPACITY,0.1657,False
USA,McGrigor Farm Solar,USA0060440,5.0,35.0198,-78.3501,Solar,2019.0,,0.1788,False
USA,Center Hybrid,USA0056475,59.8,33.9296,-118.1046,Gas,2008.6722408026756,,0.1226,False
PNG,Ulagunan,WRI1022422,8.4,-11.098,63.434,Oil,,OCEAN_COORDS,0.0679,False
USA,Meriwether Farm,USA0060579,5.0,-19.1358,78.439,Solar,2016.0,OCEAN_COORDS,0.0602,False
USA,Blacktip Solar,USA0061939,2.0,33.9005,-79.756,Solar,2019.0,,0.1761,False
FRA,Avignonet-Lauragais,WRI1024184,12.6,43.3771,1.7729,Wind,,,0.1934,False
NOR,Dalsfoss,WRI1003075,8.0,16.9377,-37.467,Hydro,,OCEAN_COORDS,0.1212,False
GBR,Metheringham Heath (Farm AD),GBR0000331,6.5,53.1334,-0.4721,Biomass,,,0.1808,False
USA,Salisbury City of,USA0007400,6.4,39.4236,-92.8028,Oil,1985.0625,,0.1806,False
USA,McGoogan Farm  LLC,USA0060779,5.0,34.8887,-79.0627,Solar,2015.0,,0.1787,False
USA,Webb Forging,USA0007814,5.8,34.5567,-81.4919,Oil,2003.0,,0.1769,False
CHN,Urad Zhongqi Trough,WKS0071107,100.0,42.02,108.09,Solar,,,0.118,False
USA,Amazon,USA0058357,4.2,40.5664,-74.2214,Solar,2012.0,,0.1869,False
CHN,Huainan Xinzhuangzi power station,WRI1070278,300.0,32.6371,116.8472,Coal,2008.0,,0.0715,False
USA,Alice Falls Hydro Project,USA0054391,2.1,44.5192,-73.4648,Hydro,1991.0,,0.1819,False
RUS,Orel TPP,WRI1003776,330.0,52.9879,36.0983,Gas,1946.0,,0.0565,False
ESP,MICHELIN ARANDA,WRI1006677,31.866,41.6704,-3.6892,Gas,2003.0,,0.1848,False
BRA,O Boticário - Centro de Distribuição Registro,BRA0033229,2.0,-24.4718,-47.8189,Oil,2012.0,,0.0963,False
THA,B Grimm BIP,WRI1019488,230.0,13.9745,100.5649,Gas,,,0.0506,False
GTM,SIDEGUA,WRI1061437,,7.0019,-136.0773,Oil,,OCEAN_COORDS|MISSING_CAPACITY,0.0328,False
AUS,Jounama,AUS0000038,14.0,-35.562,148.3055,Hydro,,,-0.0547,True
ISR,Tzafit (Dalia),WRI1061491,835.0,-24.8887,84.0687,Gas,2015.0,OCEAN_COORDS,-0.0698,True
USA,Red Hills Wind Project LLC,USA0056804,123.0,35.535,-99.3828,Wind,2009.0,,0.1286,False
USA,Berlin Gorham,USA0054639,30.299999999999997,-3.7787,-141.4048,Hydro,1925.6072607260728,OCEAN_COORDS,0.0026,False
DOM,Guayubín,WKS0069260,58.0,19.706,-71.377,Solar,,,0.1091,False
CHN,Hunan Daxing Small,WRI1071936,7.0,27.9023,110.9306,Hydro,,,0.1234,False
USA,Preston (IA),USA0001176,3.2,42.0507,-90.3942,Gas,1975.75,,0.1813,False
USA,Musgrave East Solar Farm,USA0061003,2.0,42.7315,-76.6637,Solar,2017.0,,0.1858,False
USA,Pinckneyville,USA0055202,380.0,38.1114,-89.3467,Gas,2000.5263157894735,,0.0799,False
CHN,Guodian Guangdong Zhaoqing Dawang power station,WRI1075609,700.0,23.3006,112.8563,Coal,2013.0,,0.0196,False
USA,Jericho Rise Wind Farm LLC,USA0059629,77.7,44.8889,-74.1033,Wind,2017.0,,0.149,False
USA,Hull Wind II,USA0056800,1.8,42.2611,-70.8564,Wind,2006.0,,0.1835,False
