country,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,error_flags
FRA,Bonifacio,WRI1024909,5.02432,41.4355,9.1857,Solar,,
IND,Pambur GRT 2,WKS0067242,,9.4533,78.5758,Solar,,MISSING_CAPACITY
USA,Goose Haven Energy Center,USA0055627,47.0,38.2268,-121.8433,Gas,2003.0,
CHN,Sunjiaying,WRI1023859,100.5,42.68,118.05,Wind,,
JPN,Hatchobaru Otake,WRI1020116,,33.1053,131.1874,Geothermal,,MISSING_CAPACITY
USA,Archer Daniels Midland Southport,USA0054316,52.5,33.9397,-77.9905,Gas,1992.9714285714283,
ITA,Bosco Marengo Solar Power Plant,WRI1026397,6.5,1.9678,-120.3517,Solar,,OCEAN_COORDS
CAN,Lily Lake,CAN0008047,10.0,44.3136,-78.3926,Solar,,
POL,EC Starachowice,WRI1061504,36.0,51.0299,21.0799,Coal,,
BGD,Narshingdi (Doreen),WRI1029237,22.0,23.9186,90.6926,Oil,,
RUS,GT CHP of Magnitogorsk,WRI1062075,18.0,53.4109,58.9491,Gas,,
USA,Oneida Herkimer,USA0057404,3.2,43.4622,-75.4183,Waste,2012.5,
KEN,Olkaria I,WRI1000048,45.0,-0.8893,36.2557,Geothermal,1981.0,
CAN,Brampton Biomass,CAN0007694,15.1,43.697,-79.6825,Biomass,,
RUS,Novo-Irkustsk,WRI1003765,655.0,8.5941,-31.7988,Coal,1960.0,OCEAN_COORDS
ITA,Bellavista Solar Power Plant,WRI1026395,6.0,41.6577,12.6621,Solar,,
USA,Sutter Energy Center,USA0055112,636.0,39.0531,-121.6959,Gas,2001.0,
IND,NIMBAHERA JK CEMENT,WRI1019894,33.2,-22.6821,81.5321,Coal,,OCEAN_COORDS
MEX,Altamira II,MEX0001794,495.0,22.4978,-97.9017,Gas,,
BRA,Sertão 1,WKS0066262,30.0,-8.51,-42.505,Solar,,
DEU,Ro�la Solar Power Plant,WRI1030145,6.0,51.4646,11.0559,Solar,,
CHN,Datang Xinyang power station,WRI1070131,1940.0,32.1099,114.1406,Coal,2006.0,
FRA,Montauban,WRI1025201,2.35,44.0226,1.3638,Hydro,,
USA,Medicine Bow,USA0000692,6.2,41.8353,-106.2428,Wind,2000.0,
